key	nubKey	nameKey	taxonID	kingdom	phylum	order	family	genus	species	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	datasetKey	parentKey	parent	scientificName	canonicalName	authorship	nameType	rank	origin	taxonomicStatus	nomenclaturalStatus	remarks	numDescendants	references	lastCrawled	lastInterpreted	issues	class
152543197	2513609	3986423	https://www.gbif.org/species/2513609	Fungi	Basidiomycota	Entylomatales	Entylomataceae	Entyloma	Entyloma calendulae	213212214	213212216	213212293	213212295	213212297	213212298	152543197	6d9e952f-948c-4483-9807-575348147c7e	213212298	Entyloma	Entyloma calendulae (Oudem.) de Bary	Entyloma calendulae	(Oudem.) de Bary	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/2513609	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.863+00:00		Exobasidiomycetes
152543200	5232428	33157653	https://www.gbif.org/species/5232428	Animalia	Chordata	Anseriformes	Anatidae	Chloephaga	Chloephaga picta	213212180	213212182	213212559	213212647	213212648	213212693	152543200	6d9e952f-948c-4483-9807-575348147c7e	213212693	Chloephaga	Chloephaga picta (J.F.Gmelin, 1789)	Chloephaga picta	(J.F.Gmelin, 1789) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/wr3gis, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/guejza	0	https://www.gbif.org/species/5232428	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:09.147+00:00		Aves
152543206	5232437	1634940	https://www.gbif.org/species/5232437	Animalia	Chordata	Anseriformes	Anatidae	Branta	Branta canadensis	213212180	213212182	213212559	213212647	213212648	213212702	152543206	6d9e952f-948c-4483-9807-575348147c7e	213212702	Branta	Branta canadensis (Linnaeus, 1758)	Branta canadensis	(Linnaeus, 1758) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/wr3gis, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/guejza	0	https://www.gbif.org/species/5232437	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:09.178+00:00		Aves
152543207	7670473	41026046	https://www.gbif.org/species/7670473	Fungi	Chytridiomycota	Rhizophydiales	NA	Batrachochytrium	Batrachochytrium salamandrivorans	213212214	213212332	213212334	213212336	NA	213212337	152543207	6d9e952f-948c-4483-9807-575348147c7e	213212337	Batrachochytrium	Batrachochytrium salamandrivorans A.Martel, Blooi, Bossuyt & Pasmans	Batrachochytrium salamandrivorans	A.Martel, Blooi, Bossuyt & Pasmans	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/7670473	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.971+00:00		Rhizophydiomycetes
152543209	2627503	17283550	https://www.gbif.org/species/2627503	Fungi	Chytridiomycota	Rhizophydiales	NA	Batrachochytrium	Batrachochytrium dendrobatidis	213212214	213212332	213212334	213212336	NA	213212337	152543209	6d9e952f-948c-4483-9807-575348147c7e	213212337	Batrachochytrium	Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols	Batrachochytrium dendrobatidis	Longcore, Pessier & D.K.Nichols	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/3pmlxs	0	https://www.gbif.org/species/2627503	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:07.968+00:00		Rhizophydiomycetes
152543210	2498387	378117	https://www.gbif.org/species/2498387	Animalia	Chordata	Anseriformes	Anatidae	Aix	Aix sponsa	213212180	213212182	213212559	213212647	213212648	213212738	152543210	6d9e952f-948c-4483-9807-575348147c7e	213212738	Aix	Aix sponsa (Linnaeus, 1758)	Aix sponsa	(Linnaeus, 1758) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/wr3gis, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/guejza	0	https://www.gbif.org/species/2498387	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:09.294+00:00		Aves
152543211	2498388	378093	https://www.gbif.org/species/2498388	Animalia	Chordata	Anseriformes	Anatidae	Aix	Aix galericulata	213212180	213212182	213212559	213212647	213212648	213212738	152543211	6d9e952f-948c-4483-9807-575348147c7e	213212738	Aix	Aix galericulata (Linnaeus, 1758)	Aix galericulata	(Linnaeus, 1758) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/wr3gis, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/guejza	0	https://www.gbif.org/species/2498388	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:09.291+00:00		Aves
152543214	2498390	6706759	https://www.gbif.org/species/2498390	Animalia	Chordata	Anseriformes	Anatidae	Marmaronetta	Marmaronetta angustirostris	213212180	213212182	213212559	213212647	213212648	213212698	152543214	6d9e952f-948c-4483-9807-575348147c7e	213212698	Marmaronetta	Marmaronetta angustirostris (Ménétries, 1832)	Marmaronetta angustirostris	(Ménétries, 1832) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/wr3gis, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/guejza	0	https://www.gbif.org/species/2498390	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:09.164+00:00		Aves
152543218	2498252	467137	https://www.gbif.org/species/2498252	Animalia	Chordata	Anseriformes	Anatidae	Alopochen	Alopochen aegyptiaca	213212180	213212182	213212559	213212647	213212648	213212706	152543218	6d9e952f-948c-4483-9807-575348147c7e	213212706	Alopochen	Alopochen aegyptiaca (Linnaeus, 1766)	Alopochen aegyptiaca	(Linnaeus, 1766) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/wr3gis, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/guejza	0	https://www.gbif.org/species/2498252	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:09.198+00:00		Aves
152543221	2498305	18514854	https://www.gbif.org/species/2498305	Animalia	Chordata	Anseriformes	Anatidae	Oxyura	Oxyura jamaicensis	213212180	213212182	213212559	213212647	213212648	213212707	152543221	6d9e952f-948c-4483-9807-575348147c7e	213212707	Oxyura	Oxyura jamaicensis (J.F.Gmelin, 1789)	Oxyura jamaicensis	(J.F.Gmelin, 1789) 	SCIENTIFIC	SPECIES	SOURCE	ACCEPTED	NA	Sources considered for this taxon: https://doi.org/10.15468/wr3gis, https://doi.org/10.15468/a7wkuh, https://doi.org/10.15468/guejza	0	https://www.gbif.org/species/2498305	2023-09-20T12:16:50.864+00:00	2023-09-20T12:17:09.210+00:00		Aves
