X,scientificName,taxonKey,rank,taxonomicStatus,kingdom,includes,classKey,gbifKey
9710,Trachylepis striata,2161710,NA,NA,NA,NA,367,182133718
9711,Trachyspermum ammi,8244019,SPECIES,DOUBTFUL,Plantae,NA,220,159748110
9712,Trachystemon orientale,4063383,SPECIES,ACCEPTED,Plantae,NA,220,213214096
9713,Tradescantia fluminensis,2765156,SPECIES,ACCEPTED,Plantae,2765156: Tradescantia fluminensis Vell.,196,152546726
9714,Tradescantia pallida,2765221,SPECIES,ACCEPTED,Plantae,NA,196,213212576
9715,Tradescantia virginiana,2765272,SPECIES,ACCEPTED,Plantae,2765272: Tradescantia virginiana L.,196,152546727
9716,Tragopogon dubius,6443709,SPECIES,ACCEPTED,Plantae,6443709: Tragopogon dubius Scop. | 5693314: Tragopogon dubius subsp. major (Jacq.) Vollm.,220,152543740
9717,Tragopogon mirabilis,5709400,SPECIES,ACCEPTED,Plantae,NA,220,152543736
9718,Tragopogon porrifolius,5386938,SPECIES,ACCEPTED,Plantae,5386938: Tragopogon porrifolius L.,220,152543743
9719,Tragopogon ×mirabilis,5709400,SPECIES,ACCEPTED,Plantae,5709400: Tragopogon ×mirabilis Rouy,220,NA
9720,Tragus australianus,5290130,SPECIES,ACCEPTED,Plantae,NA,196,152546846
9721,Tragus berteronianus,8338571,NA,NA,NA,NA,196,152546848
9722,Tragus koelerioides,5674919,SPECIES,ACCEPTED,Plantae,NA,196,152546845
9723,Tragus racemosus,5290126,SPECIES,ACCEPTED,Plantae,5290126: Tragus racemosus (L.) All.,196,152546847
9724,Tranzschelia discolor,2516419,SPECIES,ACCEPTED,Fungi,NA,270,152543157
9725,Trapa natans,3188757,SPECIES,ACCEPTED,Plantae,3188757: Trapa natans L.,220,152543409
9726,Traunsteinera globosa,2784401,SPECIES,ACCEPTED,Plantae,2784401: Traunsteinera globosa (L.) Rchb.,196,152546634
9727,Tremulicerus distinguendus,4484009,SPECIES,ACCEPTED,Animalia,NA,216,213214065
9728,Triaeris stenaspis,4202184,NA,NA,NA,NA,220,152544229
9729,Trialeurodes vaporariorum,2012132,SPECIES,ACCEPTED,Animalia,NA,216,213214217
9730,Tribulus terrestris,5421116,SPECIES,ACCEPTED,Plantae,5421116: Tribulus terrestris L.,220,152543266
9731,Tricellaria inopinata,4985072,SPECIES,ACCEPTED,Animalia,"4985072: Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",252,152543120
9732,Tricellaria ternata,5202520,NA,NA,NA,NA,NA,213214879
9733,Trichoglossus haematodus,2479686,SPECIES,ACCEPTED,Animalia,"2479694: Trichoglossus moluccanus (Gmelin, 1788)",212,159747428
9734,Trichoglossus moluccanus,7324507,NA,NA,NA,NA,220,213212904
9735,Trichopsocus clarus,5402627,NA,NA,NA,NA,220,152544582
9736,Trichorhina tomentosa,2204981,SPECIES,ACCEPTED,Animalia,NA,229,213214480
9737,Trifolium alexandrinum,5358907,SPECIES,ACCEPTED,Plantae,5358907: Trifolium alexandrinum L.,220,152545059
9738,Trifolium alpestre,5359499,SPECIES,ACCEPTED,Plantae,5359499: Trifolium alpestre L.,220,152545077
9739,Trifolium angustifolium,5359395,SPECIES,ACCEPTED,Plantae,5359395: Trifolium angustifolium L.,220,152545075
9740,Trifolium constantinopolitanum,5358906,SPECIES,ACCEPTED,Plantae,5358906: Trifolium constantinopolitanum Ser.,220,152545055
9741,Trifolium diffusum,5358912,SPECIES,ACCEPTED,Plantae,5358912: Trifolium diffusum Ehrh.,220,152545058
9742,Trifolium echinatum,5359345,SPECIES,ACCEPTED,Plantae,5359345: Trifolium echinatum M.Bieb.,220,152545068
9743,Trifolium glomeratum,5358694,SPECIES,ACCEPTED,Plantae,5358694: Trifolium glomeratum L.,220,152545053
9744,Trifolium hirtum,5359445,SPECIES,ACCEPTED,Plantae,NA,220,152545078
9745,Trifolium hybridum,5359402,SUBSPECIES,ACCEPTED,Plantae,5359402: Trifolium hybridum subsp. elegans (Savi) Asch. & Graebn. | 7858669: Trifolium hybridum var. elegans (Savi) Boiss.,220,213213824
9746,Trifolium hybridum,7224427,SUBSPECIES,ACCEPTED,Plantae,7224427: Trifolium hybridum subsp. hybridum | 7111306: Trifolium hybridum var. hybridum,220,213213824
9747,Trifolium hybridum,7222255,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9748,Trifolium hybridum,4211590,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9749,Trifolium hybridum,11136683,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9750,Trifolium hybridum,6076957,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9751,Trifolium hybridum,8338571,SPECIES,ACCEPTED,Plantae,NA,196,213213824
9752,Trifolium hybridum,4115425,SPECIES,ACCEPTED,Plantae,NA,196,213213824
9753,Trifolium hybridum,6432925,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9754,Trifolium hybridum,8925248,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9755,Trifolium hybridum,7070211,SPECIES,ACCEPTED,Plantae,NA,196,213213824
9756,Trifolium hybridum,7327959,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9757,Trifolium hybridum,7223276,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9758,Trifolium hybridum,6409536,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9759,Trifolium hybridum,7068845,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9760,Trifolium hybridum,7066596,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9761,Trifolium hybridum,4925890,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9762,Trifolium hybridum,6157035,SPECIES,ACCEPTED,Plantae,NA,11418114,213213824
9763,Trifolium hybridum,3040999,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9764,Trifolium hybridum,7853188,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9765,Trifolium hybridum,7224069,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9766,Trifolium hybridum,11162940,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9767,Trifolium hybridum,7753114,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9768,Trifolium hybridum,5545159,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9769,Trifolium hybridum,11844792,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9770,Trifolium hybridum,7223680,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9771,Trifolium hybridum,6156934,SPECIES,ACCEPTED,Plantae,NA,11418114,213213824
9772,Trifolium hybridum,5544928,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9773,Trifolium hybridum,7068732,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9774,Trifolium hybridum,7298085,SPECIES,ACCEPTED,Plantae,NA,220,213213824
9775,Trifolium hybridum,2202786,SPECIES,ACCEPTED,Plantae,NA,229,213213824
