Brandweer;straatnaam;huisnummer;Gemeente;Provincie;postcode;datum bestrijding;opmerking;Alreeds gemeld/Nieuwe melding;country;fullAddress;geometry
Branweerzone Midwest;Duboislaan;2;Hoeilaart;Vlaams-Brabant;1560;17/08/2023;in betonnen welfsel, topspray in pmd zak, rond nest en vriezer;NA;Belgium;2 Duboislaan , 1560 Hoeilaart Belgium;c(4.4415075958797, 50.7685940025569)
Branweerzone Midwest;Kellenborrestraat;4;Hoeilaart;Vlaams-Brabant;1560;27/09/2023;15m beuk, telescopische stok;NA;Belgium;4 Kellenborrestraat , 1560 Hoeilaart Belgium;c(4.48438026373218, 50.7650319025628)
Hulpverleningszone oost (Vlaams-Brabant);Terdellestraat;2;Hoeilaart;Vlaams-Brabant;1560;11/06/2023;Nest in boom;NA;Belgium;2 Terdellestraat , 1560 Hoeilaart Belgium;c(4.47035082420702, 50.762481502562)
Hulpverleningszone oost (Vlaams-Brabant);Waversesteenweg;46;Hoeilaart;Vlaams-Brabant;1560;15/11/2023;Onder dak;NA;Belgium;46 Waversesteenweg , 1560 Hoeilaart Belgium;c(4.47397080845678, 50.7625650525623)
Branweerzone Midwest;Lindestraat;91;Hoeleden;Vlaams-Brabant;3471;6/08/2023;Nest in oude fietsenstalling;NA;Belgium;91 Lindestraat , 3471 Hoeleden Belgium;c(4.9948764418145, 50.8628151525926)
Branweerzone Midwest;Koxberg;28;Huldenberg;Vlaams-Brabant;3040;21/09/2023;Mountainbikeroute: lange stok+poeder;NA;Belgium;28 Koxberg , 3040 Huldenberg Belgium;c(4.58407194584597, 50.7838705525686)
Hulpverleningszone oost (Vlaams-Brabant);Veeweidestraat;26;Huldenberg;Vlaams-Brabant;3040;17/10/2023;Populier openbare weg;NA;Belgium;26 Veeweidestraat , 3040 Huldenberg Belgium;c(4.6367939485152, 50.7664857025798)
NA;Verstrekenstraat;27;Huldenberg;Vlaams-Brabant;3040;18/07/2023;NA;NA;Belgium;27 Verstrekenstraat , 3040 Huldenberg Belgium;c(4.63325359583221, 50.7696057025784)
NA;Leeuwerikweg;25;Keerbergen;Vlaams-Brabant;3140;NA;NA;NA;Belgium;25 Leeuwerikweg , 3140 Keerbergen Belgium;c(4.67617800644913, 50.9998194025159)
Branweerzone Midwest;Aarschotsesteenweg;20;Kessel-Lo;Vlaams-Brabant;3010;10/04/2023;Red nest 18m poeder;NA;Belgium;20 Aarschotsesteenweg , 3010 Kessel-Lo Belgium;c(4.70930259582737, 50.9017986025483)
Branweerzone Midwest;Koetsweg;185;Kessel-Lo;Vlaams-Brabant;3010;13/07/2023;50 cm hoogte in de haag, nest 10-15 cm groot;NA;Belgium;185 Koetsweg , 3010 Kessel-Lo Belgium;c(4.74148098437923, 50.8771578525592)
Hulpverleningszone oost (Vlaams-Brabant);Leopold Beosierlaan;76;Kessel-Lo;Vlaams-Brabant;3010;11/09/2023;Onderaan struiken, verdelgd met poeder;NA;Belgium;76 Leopold Beosierlaan , 3010 Kessel-Lo Belgium;c(4.72716140881388, 50.8869500525547)
Hulpverleningszone oost (Vlaams-Brabant);Leopold Beosierlaan;76;Kessel-Lo;Vlaams-Brabant;3010;11/09/2023;Nest verwijderd en meegenomen;NA;Belgium;76 Leopold Beosierlaan , 3010 Kessel-Lo Belgium;c(4.72716140881388, 50.8869500525547)
Branweerzone Midwest;Overwinningstraat;44;Kessel-Lo;Vlaams-Brabant;3010;13/06/2023;Nest in hoek van terras, iets groter dan tennisbal;NA;Belgium;44 Overwinningstraat , 3010 Kessel-Lo Belgium;c(4.72728618760885, 50.8720682525591)
Hulpverleningszone oost (Vlaams-Brabant);Richard Valvekensstraat;74;Kessel-Lo;Vlaams-Brabant;3010;11/09/2023;Geen nest gevonden;NA;Belgium;74 Richard Valvekensstraat , 3010 Kessel-Lo Belgium;c(4.72814550665388, 50.8835772525558)
NA;Tiensesteenweg;249;Kessel-Lo;Vlaams-Brabant;3010;14/08/2023;In boom op 13m, lans met poeder;NA;Belgium;249 Tiensesteenweg , 3010 Kessel-Lo Belgium;c(4.71492859582296, 50.8735708025572)
Hulpverleningszone oost (Vlaams-Brabant);Hakendoverstraat;1;Landen;Vlaams-Brabant;3400;11/12/2023;In boom 20m, dia 50cm, lans met poeder;NA;Belgium;1 Hakendoverstraat , 3400 Landen Belgium;c(4.99947372420517, 50.7762427526187)
Branweerzone Midwest;Kapelstraat;18;Landen;Vlaams-Brabant;3404;13/07/2023;Kleine nest in tuinberging;NA;Belgium;18 Kapelstraat , 3404 Landen Belgium;c(5.09713703719351, 50.7645093526336)
Hulpverleningszone oost (Vlaams-Brabant);Molenbergstraat;4;Landen;Vlaams-Brabant;3400;11/12/2023;In boom 24m, dia 60cm, lans met poeder;NA;Belgium;4 Molenbergstraat , 3400 Landen Belgium;c(5.08506879571721, 50.7524721026358)
Hulpverleningszone oost (Vlaams-Brabant);Aarschotsesteenweg;286;Leuven;Vlaams-Brabant;3000;16/11/2023;In boom 8m, dia 45cm, lans met poeder;NA;Belgium;286 Aarschotsesteenweg , 3000 Leuven Belgium;c(4.71233079582727, 50.9078855525468)
Hulpverleningszone oost (Vlaams-Brabant);Brusselsesteenweg;100;Leuven;Vlaams-Brabant;3000;14/11/2023;Uit boom gevallen nest met zak weggenomen;NA;Belgium;100 Brusselsesteenweg , 3000 Leuven Belgium;c(4.67756405627776, 50.8861180525493)
Hulpverleningszone oost (Vlaams-Brabant);Englebert Carleerlaan;26;Leuven;Vlaams-Brabant;3012;16/11/2023;In boom 20m, dia 45cm, lans met poeder;NA;Belgium;26 Englebert Carleerlaan , 3012 Leuven Belgium;c(4.70019713915369, 50.8984007525482)
NA;Hambosstraat;32;Leuven;Vlaams-Brabant;3018;16/10/2023;NA;NA;Belgium;32 Hambosstraat , 3018 Leuven Belgium;c(4.68058252004951, 50.932629302536)
Branweerzone Midwest;Hambosstraat;32;Leuven;Vlaams-Brabant;3018;16/10/2023;Boom 6m 30cm lans+poeder;NA;Belgium;32 Hambosstraat , 3018 Leuven Belgium;c(4.68058252004951, 50.932629302536)
Hulpverleningszone oost (Vlaams-Brabant);Ijzerenmolenstraat;143;Leuven;Vlaams-Brabant;3001;11/09/2023;In boom 20m, dia 40cm, lans met poeder;NA;Belgium;143 Ijzerenmolenstraat , 3001 Leuven Belgium;c(4.68655299582977, 50.8710753025547)
NA;Kapucijnenvoer;35;Leuven;Vlaams-Brabant;3000;26/09/2023;Nest weggenomen;NA;Belgium;35 Kapucijnenvoer , 3000 Leuven Belgium;c(4.69252167300949, 50.879248102553)
Hulpverleningszone oost (Vlaams-Brabant);Kasteelpark Arenberg;51;Leuven;Vlaams-Brabant;3001;17/11/2023;In boom 24, dia 70cm, lans met poeder;NA;Belgium;51 Kasteelpark Arenberg , 3001 Leuven Belgium;c(4.68250906206821, 50.8626478525567)
Branweerzone Midwest;Kerkhofdreef;7;Leuven;Vlaams-Brabant;3001;25/07/2023;In werkhal op 4m hoogte;NA;Belgium;7 Kerkhofdreef , 3001 Leuven Belgium;c(4.71418056712715, 50.8703241025581)
Hulpverleningszone oost (Vlaams-Brabant);Korbeek-Losestraat;71;Leuven;Vlaams-Brabant;3001;14/11/2023;In boom 4m, dia 40cm, lans met poeder;NA;Belgium;71 Korbeek-Losestraat , 3001 Leuven Belgium;c(4.72277527225587, 50.8701846525591)
Branweerzone Midwest;Mechelsevest;22;Leuven;Vlaams-Brabant;3000;10/07/2023;Nest in haag;NA;Belgium;22 Mechelsevest , 3000 Leuven Belgium;c(4.69002509583069, 50.8878326025502)
Branweerzone Midwest;Naamsesteenweg;575;Leuven;Vlaams-Brabant;3001;27/09/2023;Dakrand 9m lans+poeder;NA;Belgium;575 Naamsesteenweg , 3001 Leuven Belgium;c(4.69933955876271, 50.8483550525628)
Hulpverleningszone oost (Vlaams-Brabant);Professor Van Overstraetenplein;1;Leuven;Vlaams-Brabant;3000;22/11/2023;In boom 13m, dia 1m, lans met poeder;NA;Belgium;1 Professor Van Overstraetenplein , 3000 Leuven Belgium;c(4.71588459582341, 50.8799611025555)
Branweerzone Midwest;Roeselbergdal;10;Leuven;Vlaams-Brabant;3012;9/05/2023;Boom 17m bol 45cm;NA;Belgium;10 Roeselbergdal , 3012 Leuven Belgium;c(4.69507087484501, 50.8926728025493)
Hulpverleningszone oost (Vlaams-Brabant);Sint-Janbergsesteenweg;228;Leuven;Vlaams-Brabant;3001;11/07/2023;In boom 16m, dia 60cm, lans met poeder;NA;Belgium;228 Sint-Janbergsesteenweg , 3001 Leuven Belgium;c(4.65980739583541, 50.8615513025544)
NA;Spaanse Burchtlaan;26;Leuven;Vlaams-Brabant;3000;13/06/2023;Klein nest in tuin;NA;Belgium;26 Spaanse Burchtlaan , 3000 Leuven Belgium;c(4.72453934319184, 50.8670566025602)
Branweerzone Midwest;Toverberg;1;Leuven;Vlaams-Brabant;3001;18/09/2023;Torenkraan 15m 40cm dia;NA;Belgium;1 Toverberg , 3001 Leuven Belgium;c(4.65504177095217, 50.8609860025541)
Branweerzone Midwest;Waversebaan;303;Leuven;Vlaams-Brabant;3001;19/09/2023;Nest terras poeder;NA;Belgium;303 Waversebaan , 3001 Leuven Belgium;c(4.67713156275075, 50.8530262525589)
Branweerzone Midwest;Gellenberg;121;Lubbeek;Vlaams-Brabant;3210;8/10/2023;In magazijn op 3 meter, verwijderd via zaktechniek;NA;Belgium;121 Gellenberg , 3210 Lubbeek Belgium;c(4.83109254579622, 50.8946079025643)
Branweerzone Midwest;Jachthoorn;10;Lubbeek;Vlaams-Brabant;3210;29/08/2023;5m hoog, achter houten gevel planchetten, poeder met lans;NA;Belgium;10 Jachthoorn , 3210 Lubbeek Belgium;c(4.77605783903547, 50.9028249025556)
Branweerzone Midwest;Kraaikant;84;Nieuwrode;Vlaams-Brabant;3221;20/07/2023;Onder gootplank 5m hoog;NA;Belgium;84 Kraaikant , 3221 Nieuwrode Belgium;c(4.813614251136, 50.950204902546)
NA;Bogaardenstraat;51;Oud-Heverlee;Vlaams-Brabant;3050;28/06/2023;Nest op 1,5 m hoog tegen straatkant;NA;Belgium;51 Bogaardenstraat , 3050 Oud-Heverlee Belgium;c(4.65499018327211, 50.8364131525613)
NA;Parnassusbergdreef;1;Oud-Heverlee;Vlaams-Brabant;3052;16/08/2023;Secundaire nest in boom 27m, met lans;NA;Belgium;1 Parnassusbergdreef , 3052 Oud-Heverlee Belgium;c(4.66313839583067, 50.8248634025656)
Branweerzone Midwest;Haagwindelaan;35;Overijse;Vlaams-Brabant;3090;21/09/2023;Dakterras;NA;Belgium;35 Haagwindelaan , 3090 Overijse Belgium;c(4.49487152821629, 50.7732577525616)
Hulpverleningszone oost (Vlaams-Brabant);Koninginnelaan;64;Overijse;Vlaams-Brabant;3090;15/11/2023;In boom 15m;NA;Belgium;64 Koninginnelaan , 3090 Overijse Belgium;c(4.49493726141392, 50.7463082025695)
Branweerzone Midwest;Mommaertsstraat;101;Overijse;Vlaams-Brabant;3090;10/05/2023;Hoge boom telescopische stok;NA;Belgium;101 Mommaertsstraat , 3090 Overijse Belgium;c(4.57786939584506, 50.7609684025746)
Hulpverleningszone oost (Vlaams-Brabant);Reebokweg;2;Overijse;Vlaams-Brabant;3090;11/08/2023;Nest in boom;NA;Belgium;2 Reebokweg , 3090 Overijse Belgium;c(4.49355819586921, 50.7911428025562)
Hulpverleningszone oost (Vlaams-Brabant);Smetslaan;24;Overijse;Vlaams-Brabant;3090;11/06/2023;Nest in boom;NA;Belgium;24 Smetslaan , 3090 Overijse Belgium;c(4.50702514020964, 50.7430787025718)
Branweerzone Midwest;Sportlaan;2;Overijse;Vlaams-Brabant;3090;10/12/2023;Klimop: zak;NA;Belgium;2 Sportlaan , 3090 Overijse Belgium;c(4.52212251030448, 50.7367356025754)
Branweerzone Midwest;Teniersdreef;12;Overijse;Vlaams-Brabant;3090;17/08/2023;"aan raam op eerste verdiep was kleine nest aanwezig, met weinig beweging.
 
 Ondernomen acties:Topspray in zak gespoten en rond nest gedaan, daarna deze afgeschraapt en in zak laten vallen. Alle hoornaars reeds weg. Gezien de beperkte aanwezigheid zijn we op zoek gegaan naar secundaire nest. Deze iets verder gevonden bij huisnummer 9. Ze zaten in het dak onder de pannen, hier hebben we permas D ingespoten.";NA;Belgium;12 Teniersdreef , 3090 Overijse Belgium;c(4.50643594586612, 50.7921348025574)
Hulpverleningszone oost (Vlaams-Brabant);Tervarenthof;26;Overijse;Vlaams-Brabant;3090;11/07/2023;Nest in boom;NA;Belgium;26 Tervarenthof , 3090 Overijse Belgium;c(4.50826329586496, 50.7854348025595)
Hulpverleningszone oost (Vlaams-Brabant);Vanderweydendreef;56;Overijse;Vlaams-Brabant;3090;25/10/2023;In boom +/- 20m, product in nest;NA;Belgium;56 Vanderweydendreef , 3090 Overijse Belgium;c(4.51780397382962, 50.78756230256)
Branweerzone Midwest;Olivierstraat;93;Rotselaar;Vlaams-Brabant;3110;6/05/2023;Nest in rolkast;NA;Belgium;93 Olivierstraat , 3110 Rotselaar Belgium;c(4.76591587843588, 50.9587019525381)
Branweerzone Midwest;Vorststraat;66;Scherpenheuvel;Vlaams-Brabant;3270;8/08/2023;AZH in nestkast op 170 cm hoog, verdelgingsmiddel in zak en zak over nest;NA;Belgium;66 Vorststraat , 3270 Scherpenheuvel Belgium;c(4.99801636677547, 51.0237703525456)
Hulpverleningszone oost (Vlaams-Brabant);Ernest Claesstraat;140;Scherpenheuvel-Zichem;Vlaams-Brabant;3271;11/01/2023;In boom 22m, dia 50cm, lans met poeder;NA;Belgium;140 Ernest Claesstraat , 3271 Scherpenheuvel-Zichem Belgium;c(4.99071656213811, 51.0104722025486)
NA;Manhovestraat;32;Sint pieters Kapelle;Vlaams-Brabant;1541;18/07/2023;NA;NA;Belgium;32 Manhovestraat , 1541 Sint pieters Kapelle Belgium;c(3.98737349598473, 50.7051894025243)
NA;Elisabethlaan;26;Tervuren;Vlaams-Brabant;3080;18/07/2023;NA;NA;Belgium;26 Elisabethlaan , 3080 Tervuren Belgium;c(4.5101945072509, 50.8319297525461)
Hulpverleningszone oost (Vlaams-Brabant);Grootveldlaan;15;Tervuren;Vlaams-Brabant;3080;11/07/2023;Nest op grond (uit boom gevallen);NA;Belgium;15 Grootveldlaan , 3080 Tervuren Belgium;c(4.53274099526872, 50.8524801025426)
Branweerzone Midwest;Hoogvorstweg;23;Tervuren;Vlaams-Brabant;3080;21/09/2023;Dakgoot;NA;Belgium;23 Hoogvorstweg , 3080 Tervuren Belgium;c(4.49510522086699, 50.8244377525466)
NA;Hoogvorstweg;7;Tervuren;Vlaams-Brabant;3080;27/09/2023;Nest in luchtrooster;NA;Belgium;7 Hoogvorstweg , 3080 Tervuren Belgium;c(4.4948582958724, 50.8241326025467)
Branweerzone Midwest;Leuvensesteenweg;13;Tervuren;Vlaams-Brabant;3080;29/09/2023;NA;NA;Belgium;13 Leuvensesteenweg , 3080 Tervuren Belgium;c(4.51778043030291, 50.8293803025477)
Hulpverleningszone oost (Vlaams-Brabant);Madeliefjeslaan;16;Tervuren;Vlaams-Brabant;3080;11/07/2023;Nest dakgoot;NA;Belgium;16 Madeliefjeslaan , 3080 Tervuren Belgium;c(4.54085904586316, 50.8445163025459)
Hulpverleningszone oost (Vlaams-Brabant);Onze-Lieve-Vrouwstraat;3;Tervuren;Vlaams-Brabant;3080;24/10/2023;In boom, telescopische stok;NA;Belgium;3 Onze-Lieve-Vrouwstraat , 3080 Tervuren Belgium;c(4.56531672723578, 50.8368759025509)
Branweerzone Midwest;Rotselaerlaan;61;Tervuren;Vlaams-Brabant;3080;28/07/2023;In houten oversteek van dak;NA;Belgium;61 Rotselaerlaan , 3080 Tervuren Belgium;c(4.52840754586537, 50.8363265525469)
Branweerzone Midwest;Rotweg;1;Tervuren;Vlaams-Brabant;3080;8/08/2023;Aan de kant van wandelwegje in bramenstruik;NA;Belgium;1 Rotweg , 3080 Tervuren Belgium;c(4.53753673092079, 50.8161052525539)
Branweerzone Midwest;Sint-Hubertuslaan;6;Tervuren;Vlaams-Brabant;3080;27/09/2023;Nest in opening boven de deur;NA;Belgium;6 Sint-Hubertuslaan , 3080 Tervuren Belgium;c(4.54163285435444, 50.8366900525483)
Hulpverleningszone oost (Vlaams-Brabant);Lombardstraat;23;Tienen;Vlaams-Brabant;3300;11/12/2023;In boom 15m, dia 55cm, lans met poeder;NA;Belgium;23 Lombardstraat , 3300 Tienen Belgium;c(4.94143414277829, 50.8040330526037)
Hulpverleningszone oost (Vlaams-Brabant);Ridderstraat;3;Tienen;Vlaams-Brabant;3300;11/08/2023;In boom 15m, dia 60cm;NA;Belgium;3 Ridderstraat , 3300 Tienen Belgium;c(4.9487068880885, 50.7664204026157)
Branweerzone Midwest;Sint-Truidensesteenweg;1;Tienen;Vlaams-Brabant;3300;9/02/2023;In boom op 18m, bol 40cm, lans met poeder;NA;Belgium;1 Sint-Truidensesteenweg , 3300 Tienen Belgium;c(4.95389397229656, 50.8009827026061)
Branweerzone Midwest;Vianderstraat;22;Tienen;Vlaams-Brabant;3300;10/04/2023;15m boom, bol 70cm;NA;Belgium;22 Vianderstraat , 3300 Tienen Belgium;c(4.94460929063733, 50.8128532026015)
Hulpverleningszone oost (Vlaams-Brabant);Geetsvondelstraat;1;Tremelo;Vlaams-Brabant;3120;31/10/2023;In boom 38m, dia 55cm, lans met poeder;NA;Belgium;1 Geetsvondelstraat , 3120 Tremelo Belgium;c(4.75435312509754, 50.9879677025282)
NA;Helskensstraat;36;Tremelo;Vlaams-Brabant;3120;NA;NA;NA;Belgium;36 Helskensstraat , 3120 Tremelo Belgium;c(4.6902520725281, 50.9882186709712)
Branweerzone Midwest;Tuinwijkstraat;11;Tremelo;Vlaams-Brabant;3120;14/08/2023;In dak op 3m, poeder in de invliegopening;NA;Belgium;11 Tuinwijkstraat , 3120 Tremelo Belgium;c(4.7352292958312, 50.9986747525229)
Branweerzone Midwest;Bleydenberglaan;11;Wilsele;Vlaams-Brabant;3012;30/08/2023;In haag op 1,5m, bol van 35cm, zaktechniek;NA;Belgium;11 Bleydenberglaan , 3012 Wilsele Belgium;c(4.70127425405498, 50.8910906025505)
NA;kapellestraat;20;Ardooie;West-Vlaanderen;8851;15/09/2023;NA;NA;Belgium;20 kapellestraat , 8851 Ardooie Belgium;c(3.21257381151948, 51.0077155523533)
NA;wezestraat;2;Ardooie;West-Vlaanderen;8850;12/09/2023;NA;NA;Belgium;2 wezestraat , 8850 Ardooie Belgium;c(3.20832469620049, 50.9688276023639)
NA;Meuledreve;2;Dentergem;West-Vlaanderen;8720;28/08/2023;NA;NA;Belgium;2 Meuledreve , 8720 Dentergem Belgium;c(3.4325761785781, 50.9389981023963)
NA;wontergemstraat;85;Dentergem;West-Vlaanderen;8720;27/08/2023;NA;NA;Belgium;85 wontergemstraat , 8720 Dentergem Belgium;c(3.42470593323769, 50.9663415523876)
NA;akkerstraat;32;Hooglede;West-Vlaanderen;8830;19/07/2023;NA;NA;Belgium;32 akkerstraat , 8830 Hooglede Belgium;c(3.06992741843038, 50.9789374023464)
NA;beverenstraat;42;Hooglede;West-Vlaanderen;8830;6/06/2023;NA;NA;Belgium;42 beverenstraat , 8830 Hooglede Belgium;c(3.08815092786834, 50.9774086523487)
NA;doelstraat;21;Ingelmunster;West-Vlaanderen;8770;20/08/2023;NA;NA;Belgium;21 doelstraat , 8770 Ingelmunster Belgium;c(3.24889438905485, 50.9230291523811)
NA;koetsstraat;4;Ingelmunster;West-Vlaanderen;8770;12/06/2023;NA;NA;Belgium;4 koetsstraat , 8770 Ingelmunster Belgium;c(3.25844871592714, 50.9080012023864)
NA;meulebekestraat;67;Ingelmunster;West-Vlaanderen;8770;10/07/2023;NA;NA;Belgium;67 meulebekestraat , 8770 Ingelmunster Belgium;c(3.26024503331396, 50.9282143523809)
NA;blekerijstraat;90;Izegem;West-Vlaanderen;8870;14/07/2023;NA;NA;Belgium;90 blekerijstraat , 8870 Izegem Belgium;c(3.20050709860397, 50.9042896023813)
NA;gudrunplein;5;Izegem;West-Vlaanderen;8870;13/07/2023;NA;NA;Belgium;5 gudrunplein , 8870 Izegem Belgium;c(3.22456155253449, 50.9053002523836)
NA;hondekensmolenstraat;8;Izegem;West-Vlaanderen;8870;13/07/2023;NA;NA;Belgium;8 hondekensmolenstraat , 8870 Izegem Belgium;c(3.22128381764891, 50.9080931523825)
NA;molstraat;31;Izegem;West-Vlaanderen;8870;13/07/2023;NA;NA;Belgium;31 molstraat , 8870 Izegem Belgium;c(3.18672201336721, 50.9155524023767)
NA;Oekensestraat;99;Izegem;West-Vlaanderen;8870;NA;NA;NA;Belgium;99 Oekensestraat , 8870 Izegem Belgium;c(3.17944510622458, 50.9224848523739)
NA;europalaan;23;Lichtervelde;West-Vlaanderen;8810;19/07/2023;NA;NA;Belgium;23 europalaan , 8810 Lichtervelde Belgium;c(3.12593522080121, 51.0273860523387)
NA;rozenlaan;47;Lichtervelde;West-Vlaanderen;8810;1/06/2023;NA;NA;Belgium;47 rozenlaan , 8810 Lichtervelde Belgium;c(3.13183991203849, 51.0290880523387)
NA;biezaardhof;8;Meulebeke;West-Vlaanderen;8760;15/06/2023;NA;NA;Belgium;8 biezaardhof , 8760 Meulebeke Belgium;c(3.28987840440253, 50.9454756023792)
NA;nieuwstraat;8;Meulebeke;West-Vlaanderen;8760;13/09/2023;NA;NA;Belgium;8 nieuwstraat , 8760 Meulebeke Belgium;c(3.2853577886362, 50.9518640523769)
NA;sint-antoniusstraat;3;Meulebeke;West-Vlaanderen;8760;18/08/2023;NA;NA;Belgium;3 sint-antoniusstraat , 8760 Meulebeke Belgium;c(3.24263423964521, 50.9615615523696)
NA;veldstraat;150;Meulebeke;West-Vlaanderen;8760;20/07/2023;NA;NA;Belgium;150 veldstraat , 8760 Meulebeke Belgium;c(3.25495699618767, 50.9525202023735)
NA;kleppestraat;46;moorslede;West-Vlaanderen;8890;7/09/2023;NA;NA;Belgium;46 kleppestraat , 8890 moorslede Belgium;c(3.10033643180573, 50.8511604523858)
NA;mgr cardijnlaan;11;moorslede;West-Vlaanderen;8890;30/08/2023;NA;NA;Belgium;11 mgr cardijnlaan , 8890 moorslede Belgium;c(3.10140700770588, 50.8519042023857)
NA;hoogleenstraat;6;Oostrozebeke;West-Vlaanderen;8780;14/08/2023;NA;NA;Belgium;6 hoogleenstraat , 8780 Oostrozebeke Belgium;c(3.35525138367384, 50.9290693023908)
NA;boterstraat;10;Pittem;West-Vlaanderen;8740;12/07/2023;NA;NA;Belgium;10 boterstraat , 8740 Pittem Belgium;c(3.24659454522716, 50.9828434023639)
NA;abeelstraat;120;Roeselare;West-Vlaanderen;8800;4/07/2023;NA;NA;Belgium;120 abeelstraat , 8800 Roeselare Belgium;c(3.11092854622097, 50.9421464023611)
NA;baliestraat;1;Roeselare;West-Vlaanderen;8800;17/08/2023;NA;NA;Belgium;1 baliestraat , 8800 Roeselare Belgium;c(3.13948927459671, 50.9558469023602)
NA;blinde-rodenbachstraat;23;Roeselare;West-Vlaanderen;8800;NA;NA;NA;Belgium;23 blinde-rodenbachstraat , 8800 Roeselare Belgium;c(3.14424962385037, 50.9330357523672)
NA;boomgaardstraat;89;Roeselare;West-Vlaanderen;8800;6/07/2023;NA;NA;Belgium;89 boomgaardstraat , 8800 Roeselare Belgium;c(3.12740644103065, 50.9362878523645)
NA;Bruanestraat;78;Roeselare;West-Vlaanderen;8800;15/06/2023;NA;NA;Belgium;78 Bruanestraat , 8800 Roeselare Belgium;c(3.13863091332325, 50.9490354023621)
NA;deken wallaertstraat;19;Roeselare;West-Vlaanderen;8800;19/07/2023;NA;NA;Belgium;19 deken wallaertstraat , 8800 Roeselare Belgium;c(3.1377919833424, 50.9706708523559)
NA;Fazantendreef;21;Roeselare;West-Vlaanderen;8800;6/06/2023;NA;NA;Belgium;21 Fazantendreef , 8800 Roeselare Belgium;c(3.11328749853641, 50.9618398023558)
NA;gitsestraat;199;Roeselare;West-Vlaanderen;8800;18/09/2023;NA;NA;Belgium;199 gitsestraat , 8800 Roeselare Belgium;c(3.11711619622142, 50.9608329023565)
NA;groenestraat;399;Roeselare;West-Vlaanderen;8800;8/07/2023;NA;NA;Belgium;399 groenestraat , 8800 Roeselare Belgium;c(3.09687574622382, 50.937330302361)
NA;Guido Gezellelaan;95;Roeselare;West-Vlaanderen;8800;2/06/2023;NA;NA;Belgium;95 Guido Gezellelaan , 8800 Roeselare Belgium;c(3.14571991746535, 50.9382724023659)
NA;guido Gezellelaan;37;Roeselare;West-Vlaanderen;8800;24/08/2023;NA;NA;Belgium;37 guido Gezellelaan , 8800 Roeselare Belgium;c(3.13989044117247, 50.9404388023646)
NA;Guido Gezellelaan;39;Roeselare;West-Vlaanderen;8800;22/08/2023;Secundair nest 8m hoog in boom;NA;Belgium;39 Guido Gezellelaan , 8800 Roeselare Belgium;c(3.14011509431798, 50.9403931523647)
NA;hof ter weze;21;Roeselare;West-Vlaanderen;8800;12/06/2023;NA;NA;Belgium;21 hof ter weze , 8800 Roeselare Belgium;c(3.11918349621708, 50.9233924023673)
NA;hoogleedsesteenweg;460;Roeselare;West-Vlaanderen;8800;18/08/2023;NA;NA;Belgium;460 hoogleedsesteenweg , 8800 Roeselare Belgium;c(3.09652903462072, 50.9641355523534)
NA;infanteriestraat;11;Roeselare;West-Vlaanderen;8800;17/08/2023;NA;NA;Belgium;11 infanteriestraat , 8800 Roeselare Belgium;c(3.10725822021245, 50.9507876023583)
NA;Kardinaal Cardijnlaan;12;Roeselare;West-Vlaanderen;8800;14/06/2023;NA;NA;Belgium;12 Kardinaal Cardijnlaan , 8800 Roeselare Belgium;c(3.13694609021882, 50.95566875236)
NA;kwadestraat;179;Roeselare;West-Vlaanderen;8800;5/07/2023;NA;NA;Belgium;179 kwadestraat , 8800 Roeselare Belgium;c(3.17242973454378, 50.9168198023748)
NA;mandellaan;476;Roeselare;West-Vlaanderen;8800;22/07/2023;NA;NA;Belgium;476 mandellaan , 8800 Roeselare Belgium;c(3.13727829621574, 50.952356802361)
NA;pieter de coninckstraat;30;Roeselare;West-Vlaanderen;8800;26/07/2023;NA;NA;Belgium;30 pieter de coninckstraat , 8800 Roeselare Belgium;c(3.13113369816185, 50.9380552023644)
NA;pieter de coninckstraat;30;Roeselare;West-Vlaanderen;8800;8/08/2023;NA;NA;Belgium;30 pieter de coninckstraat , 8800 Roeselare Belgium;c(3.13113369816185, 50.9380552023644)
NA;Robert Lawetstraat;16;Roeselare;West-Vlaanderen;8800;6/06/2023;NA;NA;Belgium;16 Robert Lawetstraat , 8800 Roeselare Belgium;c(3.13133977715515, 50.9675992523561)
NA;Schaapbruggestraat;32;Roeselare;West-Vlaanderen;8800;23/05/2023;NA;NA;Belgium;32 Schaapbruggestraat , 8800 Roeselare Belgium;c(3.15587799702959, 50.9396559023666)
NA;skaldenstraat;10;Roeselare;West-Vlaanderen;8800;12/07/2023;NA;NA;Belgium;10 skaldenstraat , 8800 Roeselare Belgium;c(3.10837869622118, 50.938221402362)
NA;spanjestraat;166;Roeselare;West-Vlaanderen;8800;6/07/2023;NA;NA;Belgium;166 spanjestraat , 8800 Roeselare Belgium;c(3.14149273526234, 50.9457048523633)
