year,individualCount,gemeente,provincie,gewest,gbifID,decimalLatitude,decimalLongitude,geometry
2003,1,Putte,Antwerpen,flanders,2610174637,51.041234,4.641524,"c(4.641524, 51.041234)"
2001,1,Tremelo,Vlaams-Brabant,flanders,2610174689,51.008551,4.735547,"c(4.735547, 51.008551)"
2001,4,Sint-Katelijne-Waver,Antwerpen,flanders,2610174724,51.054733,4.537386,"c(4.537386, 51.054733)"
2004,1,Hoegaarden,Vlaams-Brabant,flanders,2610174919,50.781368,4.871478,"c(4.871478, 50.781368)"
2007,1,Hoegaarden,Vlaams-Brabant,flanders,2610174923,50.781368,4.871478,"c(4.871478, 50.781368)"
2008,3,Hoegaarden,Vlaams-Brabant,flanders,2610174924,50.781368,4.871478,"c(4.871478, 50.781368)"
2004,1,Diest,Vlaams-Brabant,flanders,2610174988,50.977273,5.072691,"c(5.072691, 50.977273)"
2002,2,Grimbergen,Vlaams-Brabant,flanders,2610175405,50.933844,4.372675,"c(4.372675, 50.933844)"
2003,1,Mechelen,Antwerpen,flanders,2610175420,51.022225,4.424548,"c(4.424548, 51.022225)"
2003,2,Mechelen,Antwerpen,flanders,2610175426,51.022225,4.424548,"c(4.424548, 51.022225)"
2002,1,Tremelo,Vlaams-Brabant,flanders,2610175521,50.99031,4.713314,"c(4.713314, 50.99031)"
2001,7,Putte,Antwerpen,flanders,2610175627,51.041234,4.641524,"c(4.641524, 51.041234)"
2001,1,Diepenbeek,Limburg,flanders,2610175780,50.915826,5.4301450000000004,"c(5.430145, 50.915826)"
2003,2,Bilzen,Limburg,flanders,2610175790,50.89866,5.485586,"c(5.485586, 50.89866)"
2006,3,Hoegaarden,Vlaams-Brabant,flanders,2610175889,50.781368,4.871478,"c(4.871478, 50.781368)"
2008,1,Tienen,Vlaams-Brabant,flanders,2610175923,50.802934,4.910816,"c(4.910816, 50.802934)"
2002,1,Diest,Vlaams-Brabant,flanders,2610175970,50.977273,5.072691,"c(5.072691, 50.977273)"
2003,5,Meerhout,Antwerpen,flanders,2610176230,51.135122,5.087405,"c(5.087405, 51.135122)"
2005,1,Meerhout,Antwerpen,flanders,2610176263,51.133256,5.045778,"c(5.045778, 51.133256)"
2003,1,Bilzen,Limburg,flanders,2610176770,50.866562,5.53919,"c(5.53919, 50.866562)"
